임신 주차별 챗봇 질문 시나리오
"임신 중기 상태에서 베타히스틴 100mg짜리를 2알 먹었는데, 내가 먹어도 안전한지 알려줘."
"나 아직 초기라 정확하지 않아인데, 도큐세이트+비사코딜 500mg짜리를 3일 동안 복용했어 먹었어. 태아한테 영향이 있을까?"
"나 후기인데, 도큐세이트+비사코딜 100mg짜리를 2알 먹었어. 의사한테 상담을 받아야 할까?"
"나 지금 7주차야인데, 비사코딜 200mg짜리를 1알 먹었어. 복용해도 괜찮을까?"
"나 임신 사실을 이제 막 알았어인데, 도큐세이트+비사코딜 200mg짜리를 한 번만 먹었어 먹었어. 복용하고 나서 부작용이 있을까 걱정돼."
"나 임신 6개월차인데, 로라타딘 500mg짜리를 1알 먹었어. 먹어야 할지 고민돼."
"임신 9개월차인데 상태에서 플루옥세틴 500mg짜리를 반 알 먹었는데, 내가 먹어도 안전한지 알려줘."
"임신 초기 상태에서 엔알라프릴 500mg짜리를 반 알 먹었는데, 태아한테 영향이 있을까?"
"나 아직 초기라 정확하지 않아인데, 세티리진 200mg짜리를 3일 동안 복용했어 먹었어. 의사한테 상담을 받아야 할까?"
"임신 임신 사실을 이제 막 알았어 상태에서 이부프로펜 200mg짜리를 1알 먹었는데, 아기한테 문제가 없을까?"
"임신 이제 20주가 되었어 상태에서 리튬 500mg짜리를 1알 먹었는데, 아기한테 문제가 없을까?"
"나 임신 사실을 이제 막 알았어인데, 차전자피 100mg짜리를 한 번만 먹었어 먹었어. 복용해도 괜찮을까?"
"임신 이제 20주가 되었어 상태에서 아세타졸아마이드 100mg짜리를 1알 먹었는데, 아기한테 문제가 없을까?"
"임신 임신 사실을 이제 막 알았어 상태에서 라타노프로스트 500mg짜리를 반 알 먹었는데, 아기한테 문제가 없을까?"
"나 34주야인데, 세티리진 200mg짜리를 반 알 먹었어. 먹어야 할지 고민돼."
"임신 9개월차인데 상태에서 이소트레티노인 100mg짜리를 반 알 먹었는데, 나 지금 너무 아파서 필요할 것 같은데 괜찮아?"
"나 말기인데, 클로르페니라민 200mg짜리를 한 번만 먹었어 먹었어. 나 지금 너무 아파서 필요할 것 같은데 괜찮아?"
"나 후기인데, 클로르페니라민 200mg짜리를 반 알 먹었어. 태아한테 영향이 있을까?"
"임신 임신 6개월차 상태에서 심바스타틴 200mg짜리를 2알 먹었는데, 먹어야 할지 고민돼."
"나 말기인데, 도큐세이트+비사코딜 200mg짜리를 2알 먹었어. 혹시 대체할 수 있는 약이 있을까?"
"임신 이제 20주가 되었어 상태에서 아시트레틴 500mg짜리를 한 번만 먹었어 먹었는데, 아기한테 문제가 없을까?"
"나 후기인데, 차전자피 500mg짜리를 3일 동안 복용했어 먹었어. 지금 너무 불안한데 괜찮을까?"
"임신 임신 사실을 이제 막 알았어 상태에서 이소트레티노인 200mg짜리를 2알 먹었는데, 나 지금 너무 아파서 필요할 것 같은데 괜찮아?"
"나 9개월차인데인데, 차전자피 200mg짜리를 3일 동안 복용했어 먹었어. 먹어야 할지 고민돼."
"임신 말기 상태에서 라타노프로스트 100mg짜리를 반 알 먹었는데, 복용하고 나서 부작용이 있을까 걱정돼."
"임신 9개월차인데 상태에서 디펜히드라민 100mg짜리를 1알 먹었는데, 태아한테 영향이 있을까?"
"임신 임신 사실을 이제 막 알았어 상태에서 라미프릴 200mg짜리를 2알 먹었는데, 혹시 대체할 수 있는 약이 있을까?"
"나 중기인데, 아세트아미노펜 500mg짜리를 3일 동안 복용했어 먹었어. 복용해도 괜찮을까?"
"나 중기인데, 세티리진 200mg짜리를 3일 동안 복용했어 먹었어. 혹시 대체할 수 있는 약이 있을까?"
"나 정확한 주수는 모르겠지만 임신 상태야인데, 도큐세이트+비사코딜 200mg짜리를 한 번만 먹었어 먹었어. 태아한테 영향이 있을까?"
"임신 아직 초기라 정확하지 않아 상태에서 발프로산 100mg짜리를 3일 동안 복용했어 먹었는데, 복용해도 괜찮을까?"
"나 말기인데, 이부프로펜 100mg짜리를 1알 먹었어. 내가 먹어도 안전한지 알려줘."
"나 말기인데, 이부프로펜 500mg짜리를 1알 먹었어. 내가 먹어도 안전한지 알려줘."
"임신 초기 상태에서 아스피린 500mg짜리를 반 알 먹었는데, 혹시 대체할 수 있는 약이 있을까?"
"나 9개월차인데인데, 세티리진 200mg짜리를 2알 먹었어. 내가 먹어도 안전한지 알려줘."
"임신 중기 상태에서 발프로산 100mg짜리를 반 알 먹었는데, 의사한테 상담을 받아야 할까?"
